nama_hotel,alamat_hotel,harga_kamar,jenis_kamar,total_kamar_tersedia,wilayah,latitude,longitude
The Grand Palace Resident,"Jl. Tomang Asli No.35, RW.3, Jatipulo, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Rp167.501,1,1,Jakarta Pusat,-6.1777708955016400,106.80466730295400
Titanium Express HomTel,"Jl. Raya Bogor KM 27, Pasar Rebo, Pekayon Jakarta Timur, Indonesia",Rp409.500,3,3,Jakarta Timur,-6.340904713257350,106.86944838567300
Ibis Budget Jakarta Daan Mogot,"Jalan Daan Mogot No. 50B, Kel. Wijayakusuma, Kec. Gropet Wijaya Kesuma",Rp288.750,5,5,Jakarta Barat,-6.161629795531330,106.77169421450300
Losari Blok M Hotel,"Jl.Panglima Polim Raya No.3 ,Blok M",Rp339.000,2,5,Jakarta Selatan,-6.244042031386210,106.7982828077880
Novotel Jakarta Cikini Hotel,JALAN CIKINI RAYA NO 107 109,Rp908.487,4,4,Jakarta Pusat,-6.195525529332220,106.84041273240100
Anggrek Residence,"Jalan Radio Dalam Raya Gang Anggrek No. 3 Gandaria Utara Kebayoran Baru RT.2, RT.2/RW.15, Gandaria Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12140, Indonesia",Rp187.000,1,1,Jakarta Selatan,-6.25900314746799,106.78887768566900
Blue Sky Hotel Petamburan,"Jl. Ks. Tubun No.19, RT.5/RW.6, Petamburan, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia",Rp564.444,1,1,Jakarta Pusat,-6.19987259637666,106.80198065008500
Clay Hotel Jakarta,"JL. Blora No. 20, Thamrin, Jakarta",Rp380.000,3,4,Jakarta Pusat,-6.200674697297870,106.82356636173500
Happy Inn - Melawai,Jalan Melawai Raya No. 189 B. Melawai,Rp390.109,6,6,Jakarta Selatan,-6.245957581117360,106.79625088996500
Hotel 88 Mangga Besar 120 Rumah Sakit Husada,Jl. Mangga Besar Raya No 120 Jakarta,Rp250.000,3,3,Jakarta Pusat,-6.148360793662330,106.8289411899640
Arimbi Pejaten Suites,"Jl. Pejaten Barat Raya No. 36 RT.06 / RW.03, Pasar Minggu, Mampang, Cilandak, Ragunan, Jakarta, Indonesia",Rp324.045,1,1,Jakarta Selatan,-6.277828764825300,106.8272398856690
THE 1O1 Jakarta Sedayu Darmawangsa,Jl. Darmawangsa IX No 14 Kebayoran Baru,Rp785.376,3,3,Jakarta Selatan,-6.253915998614530,106.80172191450400
Gold Coast PIK Sea View Apartments by LongeSuites,"Jl. Pantai Indah Barat, Pantai Indah Kapuk, Penjaringan, Kamal Muara, Jakarta, Indonesia",Rp500.000,3,4,Jakarta Utara,-6.101838859470380,106.73843363229300
Sambina Prime Hotel by Danapati,"Jl. Peta Utara No.27, RW.6, Pegadungan, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11830",Rp300.000,3,3,Jakarta Barat,-6.138790062619070,106.70246377830700
Yellow Bee Tanah Abang,"Jl. Wahid Hasyim No. 204 - 206, RT 009 / RW 007, Kelurahan Kampung Bali, Kecamatan Tanah Abang, Tanah Abang, Jakarta Pusat, Jakarta, Indonesia",Rp463.419,3,3,Jakarta Pusat,-6.186878795994110,106.81802181455000
Pomelotel Jakarta,"Jl. Dukuh Patra Raya No.28, Kuningan, Jakarta",Rp565.000,1,1,Jakarta Selatan,-6.237848503592340,106.83590916113000
Holiday Inn Express JAKARTA INTERNATIONAL EXPO,Jalan Arena Pekan Raya Pintu 6 Kemayoran,Rp779.052,2,2,Jakarta Utara,-6.143352325821660,106.84526873904100
My Hotel,"Jalan Hayam Wuruk No. 127 A, Glodok",Rp250.000,2,2,Jakarta Barat,-6.145510361568420,106.81639947892000
ibis Jakarta Arcadia,Jalan K.H. Wahid Hasyim 114,Rp457.157,2,2,Jakarta Pusat,-6.186685696104800,106.82605547892000
Grand Kasira Kemang Raya Antasari,"Jl. Puri Sakti I No. 43, Cipete Selatan, Kemang, Jakarta Selatan, Indonesia",Rp384.827,6,8,Jakarta Selatan,-6.272839786409950,106.81113786119600
M Hotel Blok M Jakarta,"Jl. Melawai VI. No.27 Blok M, Kebayoran Baru",Rp430.000,2,2,Jakarta Selatan,-6.244231596583890,106.79966439671200
Wisma 19,"Jl. Bangka Raya No. 72, Pela Mampang, Mampang Prapatan, Jakarta Selatan, DKI Jakarta, Indonesia",Rp273.420,2,2,Jakarta Selatan,-6.248994497844150,106.8149462789440
Hotel Gren Alia Jakarta,"Jl. Prajurit KKO Usman dan Harun No.28, RT.1/RW.5, Senen, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10410",Rp705.001,1,1,Jakarta Pusat,-6.180684262573080,106.83810189671200
De 80's Matraman,"Jl. Kb. Manggis 1 No.143, Kb. Manggis, Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13150, Indonesia",Rp190.500,1,1,Jakarta Timur,-6.205398596023400,106.8561408831380
OYO 1519 Axl Residence,"Jl. Bangun Cipta Raya Blok B no. 4, RW.6, Pegangsaan Dua, Kec. Klp. Gading, Kota Jkt Utara",Rp204.043,2,2,Jakarta Utara,-6.175657229227660,106.90764700345900
F Hotel Jakarta,"Jl. Panglima Polim Raya No. 101, Blok M, Melawai, Kebayoran Baru 12160, Jakarta Selatan, Indonesia",Rp430.396,1,1,Jakarta Selatan,-6.247015469832650,106.79765051880000
BEST WESTERN Mangga Dua Hotel & Residence,"Jalan Mangga Dua Abdad 111, Jakarta Pusat",Rp675.000,6,6,Jakarta Pusat,-6.139723823539290,106.82733305439800
Royal City Hotel Tomang Jakarta,"Jl. Tomang Raya No. 88, Jakarta Pusat, Indonesia",Rp325.000,1,1,Jakarta Pusat,-6.1719366622288000,106.80818971452500
Aloft South Jakarta,Jl. TB Simatupang Kav. 8-9,Rp907.500,5,5,Jakarta Timur,-6.291756197279520,106.81624533913500
Sofyan Hotel Soepomo Family Friendly,"Jl. Dr. Soepomo No. 23, Tebet",Rp299.900,2,2,Jakarta Selatan,-6.23689579673006,106.84454523294700
Graha Sumsel Jakarta,"Jl. Ceylon  No. 3 - 5,  Pecenongan,  Gambir, Jakarta  Pusat,  DKI Jakarta,Indonesia",Rp323.445,4,4,Jakarta Pusat,-6.162796094662030,106.8272901899640
Olympic Hotel Jakarta,"Komp. THR Lokasari Blok A-63, Jalan Mangga Besar 7, Mangga Besar, Taman Sari, Jakarta, Indonesia",Rp343.850,3,3,Jakarta Barat,-6.1471291287548500,106.82256030898100
Midtown Residence Simatupang Jakarta,Jalan T.B Simatupang Kav 20 Cilandak Barat,Rp553.350,9,10,Jakarta Selatan,-6.2915895954387200,106.80262053229500
Hilton Garden Inn Jakarta Taman Palem,Jl. Taman Palem Lestari Blok B13 No. 1,Rp771.376,5,5,Jakarta Barat,-6.138963024315310,106.72885543234900
Ibis Styles Jakarta Sunter,Jalan Gaya Motor I,Rp448.959,4,4,Jakarta Utara,-6.140294226411600,106.88599395008500
Amos Cozy Hotel Melawai,"Jl. Melawai Raya No.83-85, Jakarta, Indonesia",Rp750.003,3,3,Jakarta Selatan,-6.245589502266450,106.79906556787700
Mercure Jakarta Simatupang,Jl R A Kartini No 18,Rp769.705,4,4,Jakarta Selatan,-6.290837133033440,106.7800006322950
Omah Loji @ Mega Kuningan,"Jalan Perintis No. 36, Kuningan Timur Setiabudi",Rp288.889,1,1,Jakarta Selatan,-6.229066227350080,106.82210455008600
Madu Inn,Jl. Madu No. 36 C kel. Mangga Bsr kec. Tamansari,Rp224.000,1,1,Jakarta Barat,-6.144170663147770,106.81935089670700
Paragon Wahid Hasyim,"Jalan KH. Wahid Hasyim No. 29, Menteng",Rp327.777,2,2,Jakarta Pusat,-6.1866599956315100,106.8312175322940
Cemara Hotel,Jalan Wahid Hasyim No.69,Rp365.000,3,3,Jakarta Pusat,-6.1873775655983300,106.82742059309700
Grand Tropic Suites Hotel Jakarta,"Jl. Letjend. S. Parman Kav 3, Grogol, Jakarta Barat",Rp607.066,4,4,Jakarta Barat,-6.171938762196060,106.7878487322990
OYO 90635 Tango Juliet Residence,"Near Menara BNI, Jalan Pejompongan Dalam No. 18. Bendungan Hilir, Tanah Abang, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jakarta",Rp524.220,1,1,Jakarta Pusat,-6.205236795759010,106.80405129548600
The Residences at Puri Casablanca,"Jl. Puri Casablanca No.1, Kuningan, Jakarta, Indonesia",Rp637.000,3,4,Jakarta Selatan,-6.224082395887880,106.83872813785700
Front One Cabin Sunter,"Jl. Agung Niaga III Blok G4 No.21, Sunter Agung, Tanjung Priok, Jakarta Utara, Jakarta, DKI Jakarta, Indonesia",Rp315.000,3,3,Jakarta Utara,-6.138499961886780,106.869458461183
Pullman Jakarta Central Park,Podomoro City,Rp1.828.118,8,8,Jakarta Barat,-6.174748595584080,106.78919527348500
Mercure Jakarta Kota,"Jalan Hayam Wuruk No. 123, Glodok Jakarta Barat",Rp622.448,4,4,Jakarta Barat,-6.1490270287658300,106.81733061447000
Pullman Jakarta Indonesia,Jl. M. H. Thamrin No. 59,Rp2.123.551,8,8,Jakarta Pusat,-6.1930765688723200,106.82377389232500
White Tree Residence,"Jalan Asem II No. 19 / 18 A, Cipete South Jakarta",Rp444.125,16,16,Jakarta Selatan,-6.272370626215600,106.80294596113000
Diradja Hotel Indonesia,Jl. Tendean No 38 Mampang,Rp423.368,3,6,Jakarta Selatan,-6.239780231765770,106.82024290653000
Delua Hotel Mangga Besar,Jalan Mangga Besar Raya No. 82,Rp435.000,3,3,Jakarta Barat,-6.149021628762990,106.82588908444200
Swissôtel Jakarta PIK Avenue,Jalan Pantai Indah Kapuk,Rp2.161.441,13,13,Jakarta Utara,-6.108192563495040,106.74039331453600
Hotel Alma,"Jl. K.S. Tubun No.10.A, Tanah Abang, Jakarta, Indonesia",Rp231.000,1,1,Jakarta Barat,-6.188614929465960,106.80881999120700
Pax Hotel Matraman,"Jl. Matraman Raya No. 91, Palmeriam, Matraman, Jakarta, Indonesia",Rp350.000,2,2,Jakarta Timur,-6.205420197582540,106.85839172554700
Mercure Jakarta Cikini,Jalan Cikini Raya No 66,Rp882.743,4,4,Jakarta Pusat,-6.194359328958870,106.83880926112900
OYO 1487 Residence Khoe Near RS Royal Taruma,"Jl. Tanjung Duren Utara IV No.54, RT.010, RW.003, Kec. Grogol petamburan, Kota Jakarta Barat, DKI Jakarta, Indonesia",Rp249.062,2,2,Jakarta Barat,-6.170393362186220,106.78312134274600
Urbanest Inn House Slipi,"Jl. H. Saili No.39-40, RT.5/RW.5, Kemanggisan, Jakarta Barat, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Rp266.258,8,11,Jakarta Barat,-6.191836862386080,106.79320596112900
Sampit Residence Managed by Flat06,"Jl. Sampit 2 No.9, Blok M, Kebayoran Baru, Jakarta",Rp349.000,1,1,Jakarta Selatan,-6.245448961761610,106.7969846022340
Kosenda Hotel,"Jl.KH.Wahid Hasyim No.127,Jakarta Pusat",Rp788.472,3,3,Jakarta Pusat,-6.187138330755540,106.82172016112900
ASTON Bellevue Radio Dalam,"Jl. Haji Nawi No.1, Radio Dalam, Pondok Indah, Jakarta, Indonesia",Rp680.134,5,7,Jakarta Selatan,-6.263994096879390,106.78839045008000
Rasuna Mansion,Jalan Pedurenan Masjid Raya No. 9,Rp462.000,1,1,Jakarta Selatan,-6.221259234406920,106.82988351450300
LeGreen Suite Sudirman,"Jl. Taman Setiabudi 2 No.7, RT. 5 / RW. 3, Kuningan, Kec. Setiabudi, Kota Jakarta Selatan, DKI Jakarta, Indonesia",Rp365.708,4,4,Jakarta Selatan,-6.209228996075620,106.82545699671200
Sriwijaya Hotel Jakarta,"Jl. Veteran No.1, RT.4/RW.2, Gambir, Kecamatan Gambir",Rp450.000,4,4,Jakarta Pusat,-6.1689881621875500,106.82989904456300
Sunbreeze Hotel,Jalan Rukan Permata Senayan Blok G.5 - 10 ( Samping Casa Mexico ),Rp591.063,3,6,Jakarta Selatan,-6.223105362680360,106.79075763904200
The Glory Mansion,"Jl. Tanjung Duren Timur III Kav 251 RT.14 RW.05, Grogol Pertamburan, Jakarta, Indonesia",Rp110.200,4,4,Jakarta Barat,-6.177326995615050,106.78459819671200
Hotel Bidakara Jakarta,"Jl. Gatot Subroto No.Kav. 71-73, RT.8/RW.8, Menteng Dalam, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Indonesia",Rp989.216,2,2,Jakarta Selatan,-6.240153828633850,106.84183886235500
Bulungan Home,"Gd. Ayam Bulungan Jl. Bulungan no 64, Seberang Blok M Plaza, Kramat Pela, Kebayoran Baru, Jaksel.",Rp440.000,5,7,Jakarta Selatan,-6.2440678628785,106.79690493659100
Hotel Sutasoma,"Jl. Darmawangsa III No.2 RT.2/RW.1, Pulo, Kebayoran Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Rp1.080.000,7,7,Jakarta Selatan,-6.254010163287990,106.79822745499500
FLAT06. Tendean,"Jl. Bangka Raya No. 2A, Pela Mampang, Mampang Prapatan, Jakarta Selatan, Indonesia",Rp449.000,3,6,Jakarta Selatan,-6.2397055617949400,106.8180301028470
Pondok Sunter Indah,"JL. Gaya Motor III No.7, Sunter Podomoro, Jakarta Timur, DKI Jakarta",Rp325.000,4,6,Jakarta Utara,-6.1397566324268,106.88414862857500
Citi M Hotel Tanah Abang Gambir,"JL Tanah Abang I, No 11 Kelurahan Petojo Selatan",Rp337.500,4,4,Jakarta Pusat,-6.170525395521040,106.81885203781600
Grand Mercure Jakarta Harmoni,Jl Hayam Wuruk No. 36-37,Rp926.491,7,7,Jakarta Pusat,-6.159975995448980,106.82006255560700
The Jayakarta Jakarta Hotel & Spa,"Jl. Hayam Wuruk No.126, Jakarta",Rp927.000,1,1,Jakarta Barat,-6.147391195630580,106.81722582615900
Citadines Rasuna Jakarta,"The H Tower, Jalan HR Rasuna Said, Kav. 20 Kuningan",Rp1.159.950,7,7,Jakarta Selatan,-6.219524194750610,106.83209224578800
Losari Roxy Hotel,"Jl. KH. Hasyim Ashari No.41, RW.11, Cideng, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia",Rp276.000,2,3,Jakarta Pusat,-6.166036262182250,106.80951231450300
LEAF HOTEL,"Jl. Mangga Besar 4I No.29, Tamansari",Rp265.001,2,4,Jakarta Barat,-6.152417625509330,106.82416166169100
Ibis Jakarta Harmoni,Jl Hayam Wuruk No 35,Rp412.441,2,2,Jakarta Pusat,-6.160523295413070,106.8196859850550
FLAT06. cipete,"Jl. Abdul Majid No.6, Cipete Utara, Kebayoran Baru, Jakarta",Rp321.080,2,2,Jakarta Selatan,-6.265668626391700,106.79957173229500
Smarthomm Ancol Jakarta,"Jalan RE Martadinata No. 12ABC Kel.Ancol,Kec Pademangan",Rp300.000,5,8,Jakarta Utara,-6.13116049435282,106.82833701879900
Urbanest Inn House TB Simatupang,"Jati Padang Poncol No.52, TB Simatupang, Jakarta Selatan, Indonesia",Rp335.972,2,5,Jakarta Selatan,-6.296973331328920,106.8321398433390
Daun Residence - Menteng,Jalan Surabaya No. 2 Menteng Jakarta Pusat,Rp507.600,2,2,Jakarta Pusat,-6.19777302907632,106.83909460835700
THE LOJI @ Setiabudi,Jalan Setiabudi III / 6,Rp278.889,1,1,Jakarta Selatan,-6.207621731509970,106.82510782554700
Hotel 678 Kemang,"Jl. Kemang Selatan Raya No. 125 A, Bangka, Mampang Prapatan, Jakarta Selatan, Indonesia",Rp350.000,1,3,Jakarta Selatan,-6.273728895451480,106.82058968321800
Alia Matraman,"Jl. Matraman Raya No.224, RT.4/RW.6, Bali Mester, Kecamatan Jatinegara",Rp288.000,1,1,Jakarta Timur,-6.214328965221660,106.86332152554700
Upscale Suites,Karet Bek Murad No 73,Rp500.000,3,5,Jakarta Selatan,-6.21629609583522,106.81940721450300
Nest Residence,"Jl. Matraman Raya No. 40, Kebon Manggis, Matraman, Jakarta Timur, Jakarta, Indonesia",Rp210.000,2,2,Jakarta Timur,-6.2020834620125700,106.85606659671200
Ana Hotel Jakarta,Jl. Kebon Kacang IX / 79,Rp700.000,3,3,Jakarta Pusat,-6.19356786274307,106.81883273904200
Inn19,"Jl. Basuki Rahmat No. 1A, Apartemen Bassura City, Jatinegara, Cipinang, Jakarta Timur, Jakarta, DKI Jakarta, Indonesia",Rp358.799,1,4,Jakarta Timur,-6.22432269710237,106.87805841450300
DoubleTree by Hilton Jakarta - Diponegoro,"Jalan Pegangsaan Timur No. 17 Cikini, Menteng, Jakarta Pusat",Rp1.886.390,3,3,Jakarta Pusat,-6.199117328767180,106.84304469671200
Apartemen Green pramuka City by Vika,"Jln. A. Yani No.Kav 49, RT.13/RW.9, Rawasari, Cempaka Putih, Kota Jakarta Pusat",Rp310.000,2,2,Jakarta Pusat,-6.188489194985060,106.87474216112900
Ascott Jakarta,Jalan Kebon Kacang Raya No.2,Rp1.684.980,7,7,Jakarta Pusat,-6.195863462048450,106.81898452309600
ARTOTEL Casa Kuningan,"Jl. Denpasar Raya Blok A/13, Kav 02. RT 01/02 Kelurahan Kuningan Timur, Kecamatan Setiabudi, Jakarta Selatan",Rp1.197.028,2,2,Jakarta Selatan,-6.234783630585860,106.82695926113000
Chic Quarter,Jl. Ampera Raya No. 19,Rp477.950,3,6,Jakarta Selatan,-6.285442131100520,106.81906087892100
The Plaza Hotel Glodok,"Jl. Pinangsia Raya No.1, Glodok, Jakarta",Rp222.500,2,2,Jakarta Barat,-6.141876393788960,106.81648010345900
Grand Mercure Jakarta Kemayoran,"Jalan H Benyamin Sueb Kav B6 Superblok Mega Kemayoran, Kota Baru Bandar, Kemayoran",Rp1.146.281,8,8,Jakarta Pusat,-6.153668927474780,106.84969036787600
Hotel Godila,Jl RP Soeroso No. 36A kelurahan gondangdia kecamatan menteng jakarta pusat,Rp250.000,3,3,Jakarta Pusat,-6.191326828945720,106.83601086235500
De 80's Pondok Labu,"Jalan Margasatwa RT. 01, RW. 05, Kel. Pondok Labu, Kecamatan Cilandak, Jakarta Selatan",Rp254.250,2,2,Jakarta Selatan,-6.312603562450660,106.7956768145040
Maven Buncit,"Jl.Kemang Timur 5 No.23, Kemang ,Jakarta Selatan",Rp275.955,3,4,Jakarta Selatan,-6.259461304874720,106.8268862746250
Losari Roxy Hotel Jakarta,"Jalan Hasyim Ashari No. 41, Gajah Mada",Rp245.640,2,2,Jakarta Pusat,-6.1660162619928100,106.80952572554600
ARTOTEL Casa Hangtuah,"Jl. Hang Tuah I No.2, RW.4, Gunung, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Indonesia",Rp559.550,2,2,Jakarta Selatan,-6.233460095480140,106.79750327892100
Horison Arcadia Mangga Dua Jakarta,Jalan Pangeran Jayakarta No 73,Rp375.398,2,2,Jakarta Pusat,-6.138221394559750,106.8227470611290
The Langham Jakarta,"District 8, SCBD, Lot 28, Jakarta",Rp3.702.600,9,9,Jakarta Selatan,-6.227388896338960,106.80689843229400
Maven Cilandak,Jalan Raya Margasatwa Ragunan No.47,Rp212.399,1,1,Jakarta Selatan,-6.3116845678176400,106.80319998321800
Antoni Hotel,"Jl. Hayam Wuruk No.111 F-G, Jakarta Barat",Rp295.750,3,5,Jakarta Barat,-6.1510267955388800,106.81760521450300
Blossom Resident Blok M,"Jl. Panglima Polim IV No.46, RT. 04/ RW. 06, Melawai, Kebayoran Baru",Rp263.000,3,3,Jakarta Selatan,-6.248551926840590,106.80009138811900
Maven Cilandak Hotel,"Jl. Margasatwa No.47, Cilandak, Jakarta Selatan, DKI Jakarta",Rp215.000,1,3,Jakarta Selatan,-6.31170456244902,106.80322144088800
Ethan Hotel Kelapa Gading,"Jl. Pegangsaan Indah Barat Blok B No. 81, Kelapa Gading, Pegangsaan Dua, Jakarta, Indonesia",Rp299.250,4,6,Jakarta Utara,-6.168583362161400,106.91542769669800
Hotel Quds Express (Syariah),"Jl. KH. Mas Mansyur No. 64, Tanah Abang, Kebon Melati, Jakarta, Indonesia",Rp418.517,1,4,Jakarta Pusat,-6.194526062411310,106.8140786145030
Ascott Sudirman Jakarta,"Jalan Prof. Dr. Satrio Kav. 11, Jakarta",Rp1.953.600,6,6,Jakarta Selatan,-6.222379736089620,106.81998305253700
InterContinental Hotels JAKARTA PONDOK INDAH,Jalan Metro Pondok Indah Kav. IV TA,Rp2.795.333,10,10,Jakarta Selatan,-6.2655963307084000,106.78279966787700
Lagura Residence,"Komplek Taman Lagura Indah Blok Lt. 4, No. 2, Jl. Cempaka Putih Timur, RT. 12 / RW. 03, Cempaka Putih, Jakarta, Indonesia",Rp200.000,1,2,Jakarta Pusat,-6.180753695664410,106.87160726787700
Apartment Sentra Timur by Cheapinn,"Jl. Sentra Primer Tim., RT.5/RW.8, Pulo Gebang, Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota",Rp210.000,2,2,Jakarta Timur,-6.20473216250724,106.94929622554700
Mandarin Oriental Jakarta,"Jalan M.H. Thamrin, Menteng",Rp2.879.800,4,4,Jakarta Pusat,-6.196127963565370,106.82355906112900
Odua Thamrin Jakarta,Jalan Kendal  NO.12 RT.10/RW.06,Rp400.000,2,2,Jakarta Pusat,-6.202641393351460,106.8255524390420
Fraser Residence Menteng Jakarta,Jl Menteng Raya No 60,Rp1.473.888,15,15,Jakarta Pusat,-6.184737228917150,106.83448323781600
Odua Thamrin,"Jl. Kendal No. 12, RT. 10 / RW. 06, Menteng, Jakarta Pusat, DKI Jakarta, Indonesia",Rp440.000,4,4,Jakarta Pusat,-6.202648059619600,106.82558998996400
Hotel Monopoli Jakarta,"Jl. Taman Kemang No.12, Kemang, Mampang, Jakarta, Indonesia",Rp655.500,2,2,Jakarta Selatan,-6.256105800307140,106.80992061831300
Best Western Mangga Dua Hotel and Residence,"Jl. Mangga Dua Abdad No.111, Mangga Dua, Jakarta, Indonesia",Rp675.000,1,1,Jakarta Pusat,-6.139742491309090,106.8273115967110
AMS Hotel Koja,"Jl. Cempaka No. 12 Rawabadak Utara, Koja, Jakarta Utara",Rp295.380,2,2,Jakarta Utara,-6.114581971856290,106.89409696112900
Chic Quarter Residence,"Jl.Ampera Raya No.19, Jakarta Selatan",Rp474.700,3,5,Jakarta Selatan,-6.285455461528740,106.81905819671300
Singgahsini Plus Near PIM 1,"Jl. Haji Nawi Raya No. 74, Gandaria Utara, Cilandak, Jakarta Selatan, Jakarta, DKI Jakarta, Indonesia",Rp344.147,1,2,Jakarta Selatan,-6.263913481563240,106.79524115694300
Omah Loji @Cikini Menteng,"Jl. Ciliman No.3, RT.6/RW.4, Cikini, Kec. Menteng",Rp268.889,1,4,Jakarta Pusat,-6.195079865329210,106.84054407462400
BI Executive Hotel Ancol,"Jl. Gunung Sahari No. 2, RT. 01 / RW. 013, Pademangan Barat, Jakarta Utara, Jakarta, Indonesia",Rp585.360,4,5,Jakarta Utara,-6.130484385802990,106.83249548996400
My Home by FLAT06,"Jl. Kemang Utara No. 42H, Bellevuecor, Bangka, Mampang Prapatan, Jakarta Selatan, Jakarta, Indonesia",Rp250.000,5,6,Jakarta Selatan,-6.2590205954619100,106.82092265560800
Hotel Prima Indah Bungur,"Jl. Bungur Besar Raya No 18, Jakarta Pusat",Rp300.000,1,1,Jakarta Pusat,-6.159334162086240,106.83880588445800
Ana Hotel Jakarta Thamrin,"Jl. Kebon Kacang IX No. 79, Tanah Abang, Jakarta, Indonesia",Rp630.000,3,3,Jakarta Pusat,-6.193597861464890,106.8188193279980
Konko Hostel,"Jl. Kebon Sirih No. 9J, Kebon Sirih, Menteng, Kota Jakarta Pusat, DKI Jakarta, Indonesia",Rp300.000,3,4,Jakarta Pusat,-6.183001728819310,106.83252057892000
Hotel Dharmein,"Jalan Sultan Hasanudin No. 20-22, Blok M - KEBAYORAN BARU",Rp475.000,3,3,Jakarta Selatan,-6.24399972695972,106.79957224333900
Treehouse Suites,"Kuningan Villa Setiabudi, Jl. Karbela Timur No. 1A, Setiabudi, Jakarta, Indonesia",Rp690.000,1,1,Jakarta Selatan,-6.214846896820790,106.8281745678770
Bungur Inn Syariah,"Bungur Grand Center, Blok C No.1-3",Rp156.349,3,3,Jakarta Selatan,-6.246183496612350,106.78005412002500
Kuningan Village Studios (Syariah),"Jalan Karbela Timur No.38-46 Setiabudi, Kuningan",Rp191.100,1,2,Jakarta Selatan,-6.214475829375310,106.82753715008600
ARCS House Menteng by Jambuluwuk,"Jl. Cut Nyak Dien No. 3, Menteng",Rp439.505,1,2,Jakarta Pusat,-6.189379964028770,106.83396069671200
Northouse Residence,Jalan Bates No. 8,Rp750.000,1,4,Jakarta Selatan,-6.225330203722920,106.82428239671200
Hotel Mustika Senen,Jalan Pasar Senen No. 17 - 19,Rp480.000,1,1,Jakarta Pusat,-6.172568162298670,106.84110319671100
Hotel Syariah Mama Cengkareng @ Mutiara Palem,"Mutiara Palem, Blok. C2, No. 22, Cengkareng Timur, Cengkareng, Jakarta, Indonesia",Rp229.080,1,1,Jakarta Barat,-6.1392986992841200,106.73377672302100
The Gunawarman,Jl. Gunawarman No. 3,Rp2.546.787,6,7,Jakarta Selatan,-6.2315798346332700,106.80776024824000
Fraser Place Setiabudi Jakarta,Jl. Setiabudi Selatan Raya no.2 Kel.Karet Kec. Setiabudi,Rp2.057.940,6,6,Jakarta Selatan,-6.215168663942870,106.8294202678770
CASAVIDA MANSION,"Jalan Wijaya Timur Raya, RT.15/RW.2, Petogogan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Indonesia",Rp325.000,1,4,Jakarta Selatan,-6.240515462844890,106.81580718566800
Apartemen Senayan,Jalan Patal Senayan No. 21,Rp522.499,4,4,Jakarta Selatan,-6.2187500685951,106.79449951515600
Hotel Nalendra Jakarta,"Jl. Kebon Nanas No.70, Jakarta Timur",Rp364.320,1,4,Jakarta Timur,-6.2320738001118700,106.87775091450300
Hotel Cempaka Sari,"Hotel Cempaka Sari, Jl. Letjend Suprapto No.11E, RT.1/RW.3, Cemp. Baru, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10460",Rp185.250,4,4,Jakarta Pusat,-6.1722919955271600,106.86135989672900
Daun Residence,Jalan Sawo No. 30 Kuningan Jakarta Selatan,Rp475.000,2,2,Jakarta Selatan,-6.218430040028010,106.82727513996000
LIN PRO Bassura City,"Tower Dahlia, D/AL 17, Jl. Basuki Rahmat No.1A, Jatinegara, Cipinang",Rp350.000,1,4,Jakarta Timur,-6.224558661882700,106.87794141450300
Murad Icon,"Jalan Bek Murad No.73, RT.1/RW.1, Kuningan, Karet Kuningan, South Jakarta City, Jakarta, Indonesia",Rp200.000,1,1,Jakarta Selatan,-6.216476162617840,106.81952577339900
Siantar Room Apartment Citypark,"Jlaan Kapuk Raya Apartement City Park, Tower H Cengkareng",Rp350.000,1,1,Jakarta Barat,-6.13076296182341,106.73542565015100
Mercure Jakarta Batavia,Jalan Kali Besar Barat 44-46,Rp819.571,5,5,Jakarta Barat,-6.132452359509490,106.81004541879900
Sare Suites,"Jl. Madrasah No.14 Kemang, Jakarta Selatan",Rp298.998,2,3,Jakarta Selatan,-6.280098957403830,106.81566161082700
Bi One Hotel,Jl. Caman Raya Utara No. 88,Rp329.000,2,4,Jakarta Timur,-6.248737964101780,106.9557039844480
Apartemen Sunter Park View By Cartic,"Jl. Laksamana Muda Yos Sudarso Kav. 30 A, Sunter Jaya, Tanjung Priuk, DKI Jakarta, Indonesia",Rp300.000,2,4,Jakarta Utara,-6.157483884364900,106.88380448907000
